# wave        flux         error        rest-wave
# Combined Miri LRS and Nirspec Spectrum of WISEAJ215949.54-480855.2
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 4.5106e+00   2.2430e-04   8.3968e-06   2.5784e+02
 4.5193e+00   1.9920e-04   8.2796e-06   2.5889e+02
 4.5280e+00   1.7873e-04   7.9735e-06   2.5993e+02
 4.5367e+00   2.0388e-04   8.2529e-06   2.6095e+02
 4.5454e+00   2.3326e-04   8.4593e-06   2.6199e+02
 4.5541e+00   2.3760e-04   8.5295e-06   2.6304e+02
 4.5627e+00   2.2138e-04   8.4712e-06   2.6408e+02
 4.5714e+00   1.9770e-04   8.0858e-06   2.6511e+02
 4.5800e+00   2.0318e-04   8.3553e-06   2.6615e+02
 4.5886e+00   2.2761e-04   8.6570e-06   2.6720e+02
 4.5971e+00   2.4728e-04   8.7574e-06   2.6823e+02
 4.6057e+00   2.3206e-04   8.7258e-06   2.6926e+02
 4.6143e+00   2.1623e-04   8.7082e-06   2.7032e+02
 4.6228e+00   1.8111e-04   8.7214e-06   2.7136e+02
 4.6313e+00   2.1553e-04   8.7930e-06   2.7239e+02
 4.6398e+00   2.3263e-04   9.1519e-06   2.7343e+02
 4.6483e+00   2.0830e-04   9.3184e-06   2.7448e+02
 4.6567e+00   2.3939e-04   9.0835e-06   2.7551e+02
 4.6652e+00   2.4787e-04   9.2893e-06   2.7655e+02
 4.6736e+00   2.0073e-04   8.9445e-06   2.7761e+02
 4.6820e+00   2.4227e-04   9.1260e-06   2.7864e+02
 4.6904e+00   2.9583e-04   9.5573e-06   2.7968e+02
 4.6988e+00   2.4728e-04   9.4037e-06   2.8073e+02
 4.7071e+00   2.1638e-04   9.3597e-06   2.8177e+02
 4.7155e+00   2.1881e-04   9.1683e-06   2.8281e+02
 4.7238e+00   1.8628e-04   9.0664e-06   2.8386e+02
 4.7321e+00   1.9533e-04   9.1882e-06   2.8490e+02
 4.7404e+00   2.4111e-04   9.6110e-06   2.8594e+02
 4.7487e+00   2.7534e-04   9.8379e-06   2.8699e+02
 4.7570e+00   2.4887e-04   9.6224e-06   2.8803e+02
 4.7652e+00   2.2653e-04   9.4827e-06   2.8907e+02
 4.7734e+00   1.7001e-04   9.4376e-06   2.9013e+02
 4.7817e+00   1.3528e-04   9.2609e-06   2.9116e+02
 4.7899e+00   1.7887e-04   9.4453e-06   2.9221e+02
 4.7981e+00   2.3045e-04   9.8548e-06   2.9326e+02
 4.8062e+00   1.9776e-04   9.8150e-06   2.9429e+02
 4.8144e+00   1.7819e-04   9.7328e-06   2.9535e+02
 4.8225e+00   2.3613e-04   1.0082e-05   2.9639e+02
 4.8307e+00   2.3798e-04   1.0442e-05   2.9743e+02
 4.8388e+00   1.6000e-04   9.9028e-06   2.9849e+02
 4.8469e+00   1.8982e-04   1.0297e-05   2.9953e+02
 4.8549e+00   2.3255e-04   1.0242e-05   3.0058e+02
 4.8630e+00   2.5981e-04   1.0425e-05   3.0163e+02
 4.8711e+00   2.3875e-04   1.0390e-05   3.0267e+02
 4.8791e+00   2.0782e-04   1.0523e-05   3.0372e+02
 4.8871e+00   1.8264e-04   1.0573e-05   3.0477e+02
 4.8951e+00   1.7175e-04   1.0302e-05   3.0582e+02
 4.9031e+00   2.0282e-04   1.0377e-05   3.0687e+02
 4.9111e+00   2.4695e-04   1.0659e-05   3.0791e+02
 4.9191e+00   2.8592e-04   1.0932e-05   3.0897e+02
 4.9270e+00   2.3547e-04   1.0772e-05   3.1001e+02
 4.9350e+00   1.7575e-04   1.0357e-05   3.1106e+02
 4.9429e+00   1.4860e-04   1.0329e-05   3.1211e+02
 5.0643e+00   1.7941e-04   5.5837e-07   5.1050e+01
 5.1296e+00   1.5154e-04   5.1354e-07   5.2227e+01
 5.1934e+00   1.2023e-04   4.6059e-07   5.3387e+01
 5.2559e+00   1.0640e-04   4.2971e-07   5.4523e+01
 5.3171e+00   9.6158e-05   4.1442e-07   5.5629e+01
 5.3771e+00   7.7646e-05   3.8533e-07   5.6698e+01
 5.4360e+00   6.0094e-05   3.6975e-07   5.7724e+01
 5.4939e+00   5.0610e-05   3.6100e-07   5.8703e+01
 5.5509e+00   4.0612e-05   3.4809e-07   5.9650e+01
 5.6070e+00   3.5100e-05   3.3961e-07   6.0589e+01
 5.6622e+00   2.8905e-05   3.3103e-07   6.1530e+01
 5.7166e+00   2.7332e-05   3.1261e-07   6.2475e+01
 5.7702e+00   2.8591e-05   3.3425e-07   6.3422e+01
 5.8229e+00   2.7673e-05   3.5029e-07   6.4370e+01
 5.8749e+00   2.4328e-05   3.4584e-07   6.5317e+01
 5.9262e+00   2.5851e-05   3.3757e-07   6.6263e+01
 5.9767e+00   2.9484e-05   3.6929e-07   6.7206e+01
 6.0265e+00   2.9865e-05   3.5652e-07   6.8145e+01
 6.0757e+00   2.9857e-05   3.8232e-07   6.9078e+01
 6.1242e+00   3.4305e-05   3.8904e-07   7.0004e+01
 6.1720e+00   4.4249e-05   4.2374e-07   7.0921e+01
 6.2193e+00   6.3620e-05   4.4653e-07   7.1827e+01
 6.2659e+00   7.2031e-05   4.7496e-07   7.2720e+01
 6.3120e+00   6.1026e-05   4.5899e-07   7.3599e+01
 6.3575e+00   4.2198e-05   4.2578e-07   7.4462e+01
 6.4026e+00   2.7977e-05   4.0730e-07   7.5307e+01
 6.4471e+00   2.3059e-05   3.9197e-07   7.6132e+01
 6.4912e+00   2.2450e-05   4.0157e-07   7.6936e+01
 6.5348e+00   2.3398e-05   4.0876e-07   7.7715e+01
 6.5779e+00   2.4012e-05   4.1377e-07   7.8468e+01
 6.6207e+00   2.6716e-05   4.4083e-07   7.9194e+01
 6.6631e+00   3.2572e-05   4.4674e-07   7.9892e+01
 6.7051e+00   3.8029e-05   4.7096e-07   8.0571e+01
 6.7468e+00   3.8390e-05   4.8216e-07   8.1246e+01
 6.7881e+00   3.8925e-05   4.8658e-07   8.1923e+01
 6.8291e+00   4.1301e-05   5.0118e-07   8.2602e+01
 6.8698e+00   4.7777e-05   5.2641e-07   8.3283e+01
 6.9101e+00   5.2698e-05   5.3401e-07   8.3966e+01
 6.9501e+00   5.6158e-05   5.5284e-07   8.4652e+01
 6.9898e+00   5.1300e-05   5.4757e-07   8.5339e+01
 7.0291e+00   5.2412e-05   5.5632e-07   8.6027e+01
 7.0681e+00   5.8426e-05   5.7526e-07   8.6717e+01
 7.1069e+00   5.7446e-05   6.0176e-07   8.7408e+01
 7.1453e+00   4.9678e-05   5.7065e-07   8.8100e+01
 7.1834e+00   4.2733e-05   5.7624e-07   8.8792e+01
 7.2213e+00   4.1764e-05   5.6050e-07   8.9485e+01
 7.2588e+00   3.8246e-05   5.7814e-07   9.0178e+01
 7.2960e+00   3.4546e-05   5.6520e-07   9.0872e+01
 7.3330e+00   3.1879e-05   5.7797e-07   9.1564e+01
 7.3697e+00   3.0074e-05   5.7095e-07   9.2257e+01
 7.4061e+00   2.8119e-05   5.6115e-07   9.2948e+01
 7.4423e+00   3.1621e-05   5.8818e-07   9.3639e+01
 7.4781e+00   3.5384e-05   5.9738e-07   9.4328e+01
 7.5137e+00   4.0600e-05   6.0963e-07   9.5015e+01
 7.5491e+00   4.4237e-05   6.2800e-07   9.5701e+01
 7.5842e+00   4.4317e-05   6.3426e-07   9.6384e+01
 7.6191e+00   4.0934e-05   6.1091e-07   9.7065e+01
 7.6537e+00   3.0157e-05   6.0611e-07   9.7742e+01
 7.6881e+00   2.5219e-05   6.1348e-07   9.8417e+01
 7.7222e+00   2.6109e-05   6.1867e-07   9.9088e+01
 7.7561e+00   3.3541e-05   6.4391e-07   9.9755e+01
 7.7898e+00   4.1457e-05   6.5205e-07   1.0042e+02
 7.8233e+00   3.9663e-05   6.4360e-07   1.0108e+02
 7.8565e+00   4.0043e-05   6.5948e-07   1.0173e+02
 7.8896e+00   4.0603e-05   6.6117e-07   1.0238e+02
 7.9224e+00   4.3231e-05   6.8050e-07   1.0302e+02
 7.9551e+00   4.6289e-05   7.2390e-07   1.0366e+02
 7.9875e+00   4.7826e-05   7.0789e-07   1.0429e+02
 8.0197e+00   4.8128e-05   7.1767e-07   1.0491e+02
 8.0518e+00   5.0789e-05   7.5180e-07   1.0553e+02
 8.0836e+00   5.8247e-05   7.7649e-07   1.0614e+02
 8.1153e+00   6.6519e-05   8.0035e-07   1.0674e+02
 8.1468e+00   6.8226e-05   7.9297e-07   1.0733e+02
 8.1781e+00   6.7288e-05   7.9670e-07   1.0791e+02
 8.2093e+00   7.3894e-05   8.6795e-07   1.0849e+02
 8.2403e+00   8.2135e-05   8.8553e-07   1.0906e+02
 8.2711e+00   8.7383e-05   8.6907e-07   1.0961e+02
 8.3018e+00   8.9677e-05   9.3283e-07   1.1016e+02
 8.3324e+00   9.4397e-05   9.4201e-07   1.1069e+02
 8.3628e+00   9.5254e-05   9.5599e-07   1.1122e+02
